########################Vae Victus Cultures#######################;;;;;;;x,,,,,,,,,,,,,,,,
suebi;Suebi;;;;;;;;;;;;;;
lombard;Lombard;;;;;;;;;;;;;;
north_german;Nordgermanic;;;;;;;;;;;;;;
south_german;Ostgermanic;;;;;;;;;;;;;;
gaul;Gaulic;;;;;;;;;;;;;;
belgae;Belgae;;;;;;;;;;;;;;
briton;Briton;;;;;;;;;;;;;;
hibernian;Hibernian;;;;;;;;;;;;;;
norse;Gothic;;;;;;;;;;;;;;
celt_punic;Celtipunian;;;;;;;;;;;;;;
iberian;Barqanesh;;;;;;;;;;;;;;
barbarian;Barbarian;;;;;;;;;;;;;;
gokturk;Göktürk;;;;;;;;;;;;;;
kuzkan;Kuztürk;;;;;;;;;;;;;;
skifkan;Skiftürk;;;;;;;;;;;;;;
celt_punic;Celtipunian;;;;;;;;;;;;;;
hibernian;Hibernian;;;;;;;;;;;;;;
pict;Caledonian;;;;;;;;;;;;;;
punic;Punic;;;;;;;;;;;;;;
aksum;Baridun;;;;;;;;;;;;;;
hellene;Hellene;;;;;;;;;;;;;;
anatolian;Anatolian;;;;;;;;;;;;;;
greco-syrian;Seleucid;;;;;;;;;;;;;;
greco-egyptian;Alexandrian;;;;;;;;;;;;;;
canaanite;Phoenician;;;;;;;;;;;;;;
romqart;Romqart;;;;;;;;;;;;;;
romana;Italic;;x
illyrian;Illyrian;;;;;;;;;;;;;;x
kashubian;Kashubian;;;;;;;;;;;;;;x
polabian;Polabian;;;;;;;;;;;;;;x
veneti;Venetic;;;;;;;;;;;;;;x
dacian;Dákijan;;;;;;;;;;;;;;x
aksum;Baridun;;;;;;;;;;;;;;x
judean;Israelite;;;;;;;;;;;;;;x
kemetic;Kemetic;;;;;;;;;;;;;;x
yamnat;Yamnat;;;;;;;;;;;;;;x
arab;Arab;;;;;;;;;;;;;;x
zeraphite;Zeraphite;;;;;;;;;;;;;;x
greco-bactrian;Bactrian;;x
berber;Numidian;;x
hannoic;Hannoic;;x
rashidun;Rashidun;;x
kongo;Ukisi;;x
nephite;Nephite;;x
south_andean;Novoalpine;;x
vietnamese;Bön;;x
sevasm;Sevasm;;x
