########################Vae Victus Countries#######################;;;;;;;x,,,,,,,,,,,,,,,,
QUE;Gimradh;;x
QUE_ADJ;Gimradh;;x
MAN;Avalonia;;x
MAN_ADJ;Avalonian;;x
CSA;Prasutaga;;x
CSA_ADJ;Prasutagan;;x
TEX;Enokai;;x
TEX_ADJ;Enokai;;x
MEX;Malaika;;x
MEX_ADJ;Malaika;;x
CAL;Ponnimari;;x
CAL_ADJ;Ponnimari;;x
COL;Zaqia;;x
COL_ADJ;Zaqian;;x
CUB;Nessos;;x
CUB_ADJ;Nesso;;x
BRZ;Eparan;;x
BRZ_ADJ;Eparan;;x
PRG;Torea;;x
PRG_ADJ;Torean;;x
GCO;Tiodash;;x
GCO_ADJ;Tiodash;;x
ARG;Qart-Gadir;;x
ARG;Qart-Gadir;;x
NZL;Neu-Swebia;;x
NZL_ADJ;Swebian;;x
ZAN;Zanjiver;;x
ZAN_ADJ;Zanj;;x
ITA_democracy;Res Publica Romana;;;;
ITA_absolute_monarchy;Imperivm Romanvm;;;;
ITA_prussian_constitutionalism;Imperivm Romanvm;;;;
ITA_hms_government;Imperivm Romanvm;;;;
ITA_bourgeois_dictatorship;Dictatura Romana;;;;
ITA_bourgeois_dictatorship_ADJ;Roman;;;;
ITA_proletarian_dictatorship;Populares Dictatura Romana;;;;
ITA_proletarian_dictatorship_ADJ;Roman;;;;
ITA;Rome;;;;
ITA_ADJ;Roman;;;;
ITA_communist;Partito Comunista de Roma;;;;
ITA_fascist;Partito Nazionale Fascista;;;;
GAU;Gaul;x;;;;
GAU_ADJ;Gallic;x;;;
BEL;Nervia;x;;
BEL_ADJ;Nervian;x;;
SCO;Caledonia;;x
SCO;Caledonian;;x
NET;Lagrlond;x;;
NET_ADJ;Lagr;x;;
SAR;Sardin;;x
SAR_ADJ;Nuragic;;x
BAV;Markland;x;;
BAV_ADJ;Marklander;x;;
ALE;Alemannia;;x
ALE_ADJ;Alemannian;;x
RUS;Suurtel;x;;
RUS_ADK;Suurteli;x;;
KSH;Kashubia;x;;
KSH_ADJ;Kashubian;x;;
KRA;Silesia;x;;
KRA_ADJ;Silesian;x;;
RUT;Anteans;x;;
RUT_ADJ;Antean;x;;
BYE;Venetia;x;;
BYE_ADJ;Veneti;x;;
CAR;Carthage;;;;;;;;;;;;x
CAR_ADJ;Carthaginian;;;;;;;;;;;;x
CAR_fascist_dictatorship;Carthaginian Empire;;;;;;;;;;;;x
